ORDER_NUMBER|LINE_STATUS|PRODUCT_NUMBER|ORDERED_PIECES|SHIPPED_PIECES|BILL_OF_LADING
order-0|Closed|product-527|1234|1234|bill-number
order-1|Closed|product-527|1|0|
order-2|Closed|product-527|4000|1200|12
order-2|Open|product-527|4000|2000|
order-3|Closed|product-527|4000|1200|1235
order-3|Closed|product-527|4000|2800|344
order-4|Open|product-527|4000|1000|543543543
order-4|Closed|product-527|4000|2800|543543
order-5|Closed|product-365|1234|1234|bill-number
order-6|Closed|product-365|1|0|
order-7|Closed|product-365|4000|1200|12
order-7|Open|product-365|4000|2000|
order-8|Closed|product-365|4000|1200|1235
order-8|Closed|product-365|4000|2800|344
order-9|Open|product-365|4000|1000|543543543
order-9|Closed|product-365|4000|2800|543543
order-10|Closed|product-996|1234|1234|bill-number
order-11|Closed|product-996|1|0|
order-12|Closed|product-996|4000|1200|12
order-12|Open|product-996|4000|2000|
order-13|Closed|product-996|4000|1200|1235
order-13|Closed|product-996|4000|2800|344
order-14|Open|product-996|4000|1000|543543543
order-14|Closed|product-996|4000|2800|543543
order-15|Closed|product-368|1234|1234|bill-number
order-16|Closed|product-368|1|0|
order-17|Closed|product-368|4000|1200|12
order-17|Open|product-368|4000|2000|
order-18|Closed|product-368|4000|1200|1235
order-18|Closed|product-368|4000|2800|344
order-19|Open|product-368|4000|1000|543543543
order-19|Closed|product-368|4000|2800|543543
order-20|Closed|product-463|1234|1234|bill-number
order-21|Closed|product-463|1|0|
order-22|Closed|product-463|4000|1200|12
order-22|Open|product-463|4000|2000|
order-23|Closed|product-463|4000|1200|1235
order-23|Closed|product-463|4000|2800|344
order-24|Open|product-463|4000|1000|543543543
order-24|Closed|product-463|4000|2800|543543
order-25|Closed|product-546|1234|1234|bill-number
order-26|Closed|product-546|1|0|
order-27|Closed|product-546|4000|1200|12
order-27|Open|product-546|4000|2000|
order-28|Closed|product-546|4000|1200|1235
order-28|Closed|product-546|4000|2800|344
order-29|Open|product-546|4000|1000|543543543
order-29|Closed|product-546|4000|2800|543543
order-30|Closed|product-751|1234|1234|bill-number
order-31|Closed|product-751|1|0|
order-32|Closed|product-751|4000|1200|12
order-32|Open|product-751|4000|2000|
order-33|Closed|product-751|4000|1200|1235
order-33|Closed|product-751|4000|2800|344
order-34|Open|product-751|4000|1000|543543543
order-34|Closed|product-751|4000|2800|543543
order-35|Closed|product-347|1234|1234|bill-number
order-36|Closed|product-347|1|0|
order-37|Closed|product-347|4000|1200|12
order-37|Open|product-347|4000|2000|
order-38|Closed|product-347|4000|1200|1235
order-38|Closed|product-347|4000|2800|344
order-39|Open|product-347|4000|1000|543543543
order-39|Closed|product-347|4000|2800|543543
order-40|Closed|product-756|1234|1234|bill-number
order-41|Closed|product-756|1|0|
order-42|Closed|product-756|4000|1200|12
order-42|Open|product-756|4000|2000|
order-43|Closed|product-756|4000|1200|1235
order-43|Closed|product-756|4000|2800|344
order-44|Open|product-756|4000|1000|543543543
order-44|Closed|product-756|4000|2800|543543
order-45|Closed|product-647|1234|1234|bill-number
order-46|Closed|product-647|1|0|
order-47|Closed|product-647|4000|1200|12
order-47|Open|product-647|4000|2000|
order-48|Closed|product-647|4000|1200|1235
order-48|Closed|product-647|4000|2800|344
order-49|Open|product-647|4000|1000|543543543
order-49|Closed|product-647|4000|2800|543543
order-50|Closed|product-200|1234|1234|bill-number
order-51|Closed|product-200|1|0|
order-52|Closed|product-200|4000|1200|12
order-52|Open|product-200|4000|2000|
order-53|Closed|product-200|4000|1200|1235
order-53|Closed|product-200|4000|2800|344
order-54|Open|product-200|4000|1000|543543543
order-54|Closed|product-200|4000|2800|543543
order-55|Closed|product-944|1234|1234|bill-number
order-56|Closed|product-944|1|0|
order-57|Closed|product-944|4000|1200|12
order-57|Open|product-944|4000|2000|
order-58|Closed|product-944|4000|1200|1235
order-58|Closed|product-944|4000|2800|344
order-59|Open|product-944|4000|1000|543543543
order-59|Closed|product-944|4000|2800|543543
order-60|Closed|product-374|1234|1234|bill-number
order-61|Closed|product-374|1|0|
order-62|Closed|product-374|4000|1200|12
order-62|Open|product-374|4000|2000|
order-63|Closed|product-374|4000|1200|1235
order-63|Closed|product-374|4000|2800|344
order-64|Open|product-374|4000|1000|543543543
order-64|Closed|product-374|4000|2800|543543
order-65|Closed|product-287|1234|1234|bill-number
order-66|Closed|product-287|1|0|
order-67|Closed|product-287|4000|1200|12
order-67|Open|product-287|4000|2000|
order-68|Closed|product-287|4000|1200|1235
order-68|Closed|product-287|4000|2800|344
order-69|Open|product-287|4000|1000|543543543
order-69|Closed|product-287|4000|2800|543543
order-70|Closed|product-382|1234|1234|bill-number
order-71|Closed|product-382|1|0|
order-72|Closed|product-382|4000|1200|12
order-72|Open|product-382|4000|2000|
order-73|Closed|product-382|4000|1200|1235
order-73|Closed|product-382|4000|2800|344
order-74|Open|product-382|4000|1000|543543543
order-74|Closed|product-382|4000|2800|543543
order-75|Closed|product-362|1234|1234|bill-number
order-76|Closed|product-362|1|0|
order-77|Closed|product-362|4000|1200|12
order-77|Open|product-362|4000|2000|
order-78|Closed|product-362|4000|1200|1235
order-78|Closed|product-362|4000|2800|344
order-79|Open|product-362|4000|1000|543543543
order-79|Closed|product-362|4000|2800|543543
order-80|Closed|product-769|1234|1234|bill-number
order-81|Closed|product-769|1|0|
order-82|Closed|product-769|4000|1200|12
order-82|Open|product-769|4000|2000|
order-83|Closed|product-769|4000|1200|1235
order-83|Closed|product-769|4000|2800|344
order-84|Open|product-769|4000|1000|543543543
order-84|Closed|product-769|4000|2800|543543
order-85|Closed|product-892|1234|1234|bill-number
order-86|Closed|product-892|1|0|
order-87|Closed|product-892|4000|1200|12
order-87|Open|product-892|4000|2000|
order-88|Closed|product-892|4000|1200|1235
order-88|Closed|product-892|4000|2800|344
order-89|Open|product-892|4000|1000|543543543
order-89|Closed|product-892|4000|2800|543543
order-90|Closed|product-913|1234|1234|bill-number
order-91|Closed|product-913|1|0|
order-92|Closed|product-913|4000|1200|12
order-92|Open|product-913|4000|2000|
order-93|Closed|product-913|4000|1200|1235
order-93|Closed|product-913|4000|2800|344
order-94|Open|product-913|4000|1000|543543543
order-94|Closed|product-913|4000|2800|543543
order-95|Closed|product-554|1234|1234|bill-number
order-96|Closed|product-554|1|0|
order-97|Closed|product-554|4000|1200|12
order-97|Open|product-554|4000|2000|
order-98|Closed|product-554|4000|1200|1235
order-98|Closed|product-554|4000|2800|344
order-99|Open|product-554|4000|1000|543543543
order-99|Closed|product-554|4000|2800|543543
order-100|Closed|product-123|1234|1234|bill-number
order-101|Closed|product-123|1|0|
order-102|Closed|product-123|4000|1200|12
order-102|Open|product-123|4000|2000|
order-103|Closed|product-123|4000|1200|1235
order-103|Closed|product-123|4000|2800|344
order-104|Open|product-123|4000|1000|543543543
order-104|Closed|product-123|4000|2800|543543
order-105|Closed|product-112|1234|1234|bill-number
order-106|Closed|product-112|1|0|
order-107|Closed|product-112|4000|1200|12
order-107|Open|product-112|4000|2000|
order-108|Closed|product-112|4000|1200|1235
order-108|Closed|product-112|4000|2800|344
order-109|Open|product-112|4000|1000|543543543
order-109|Closed|product-112|4000|2800|543543
order-110|Closed|product-420|1234|1234|bill-number
order-111|Closed|product-420|1|0|
order-112|Closed|product-420|4000|1200|12
order-112|Open|product-420|4000|2000|
order-113|Closed|product-420|4000|1200|1235
order-113|Closed|product-420|4000|2800|344
order-114|Open|product-420|4000|1000|543543543
order-114|Closed|product-420|4000|2800|543543
order-115|Closed|product-352|1234|1234|bill-number
order-116|Closed|product-352|1|0|
order-117|Closed|product-352|4000|1200|12
order-117|Open|product-352|4000|2000|
order-118|Closed|product-352|4000|1200|1235
order-118|Closed|product-352|4000|2800|344
order-119|Open|product-352|4000|1000|543543543
order-119|Closed|product-352|4000|2800|543543
order-120|Closed|product-457|1234|1234|bill-number
order-121|Closed|product-457|1|0|
order-122|Closed|product-457|4000|1200|12
order-122|Open|product-457|4000|2000|
order-123|Closed|product-457|4000|1200|1235
order-123|Closed|product-457|4000|2800|344
order-124|Open|product-457|4000|1000|543543543
order-124|Closed|product-457|4000|2800|543543
order-125|Closed|product-415|1234|1234|bill-number
order-126|Closed|product-415|1|0|
order-127|Closed|product-415|4000|1200|12
order-127|Open|product-415|4000|2000|
order-128|Closed|product-415|4000|1200|1235
order-128|Closed|product-415|4000|2800|344
order-129|Open|product-415|4000|1000|543543543
order-129|Closed|product-415|4000|2800|543543
order-130|Closed|product-550|1234|1234|bill-number
order-131|Closed|product-550|1|0|
order-132|Closed|product-550|4000|1200|12
order-132|Open|product-550|4000|2000|
order-133|Closed|product-550|4000|1200|1235
order-133|Closed|product-550|4000|2800|344
order-134|Open|product-550|4000|1000|543543543
order-134|Closed|product-550|4000|2800|543543
order-135|Closed|product-407|1234|1234|bill-number
order-136|Closed|product-407|1|0|
order-137|Closed|product-407|4000|1200|12
order-137|Open|product-407|4000|2000|
order-138|Closed|product-407|4000|1200|1235
order-138|Closed|product-407|4000|2800|344
order-139|Open|product-407|4000|1000|543543543
order-139|Closed|product-407|4000|2800|543543
order-140|Closed|product-346|1234|1234|bill-number
order-141|Closed|product-346|1|0|
order-142|Closed|product-346|4000|1200|12
order-142|Open|product-346|4000|2000|
order-143|Closed|product-346|4000|1200|1235
order-143|Closed|product-346|4000|2800|344
order-144|Open|product-346|4000|1000|543543543
order-144|Closed|product-346|4000|2800|543543
order-145|Closed|product-21|1234|1234|bill-number
order-146|Closed|product-21|1|0|
order-147|Closed|product-21|4000|1200|12
order-147|Open|product-21|4000|2000|
order-148|Closed|product-21|4000|1200|1235
order-148|Closed|product-21|4000|2800|344
order-149|Open|product-21|4000|1000|543543543
order-149|Closed|product-21|4000|2800|543543
order-150|Closed|product-570|1234|1234|bill-number
order-151|Closed|product-570|1|0|
order-152|Closed|product-570|4000|1200|12
order-152|Open|product-570|4000|2000|
order-153|Closed|product-570|4000|1200|1235
order-153|Closed|product-570|4000|2800|344
order-154|Open|product-570|4000|1000|543543543
order-154|Closed|product-570|4000|2800|543543
order-155|Closed|product-587|1234|1234|bill-number
order-156|Closed|product-587|1|0|
order-157|Closed|product-587|4000|1200|12
order-157|Open|product-587|4000|2000|
order-158|Closed|product-587|4000|1200|1235
order-158|Closed|product-587|4000|2800|344
order-159|Open|product-587|4000|1000|543543543
order-159|Closed|product-587|4000|2800|543543
order-160|Closed|product-582|1234|1234|bill-number
order-161|Closed|product-582|1|0|
order-162|Closed|product-582|4000|1200|12
order-162|Open|product-582|4000|2000|
order-163|Closed|product-582|4000|1200|1235
order-163|Closed|product-582|4000|2800|344
order-164|Open|product-582|4000|1000|543543543
order-164|Closed|product-582|4000|2800|543543
order-165|Closed|product-146|1234|1234|bill-number
order-166|Closed|product-146|1|0|
order-167|Closed|product-146|4000|1200|12
order-167|Open|product-146|4000|2000|
order-168|Closed|product-146|4000|1200|1235
order-168|Closed|product-146|4000|2800|344
order-169|Open|product-146|4000|1000|543543543
order-169|Closed|product-146|4000|2800|543543
order-170|Closed|product-926|1234|1234|bill-number
order-171|Closed|product-926|1|0|
order-172|Closed|product-926|4000|1200|12
order-172|Open|product-926|4000|2000|
order-173|Closed|product-926|4000|1200|1235
order-173|Closed|product-926|4000|2800|344
order-174|Open|product-926|4000|1000|543543543
order-174|Closed|product-926|4000|2800|543543
order-175|Closed|product-162|1234|1234|bill-number
order-176|Closed|product-162|1|0|
order-177|Closed|product-162|4000|1200|12
order-177|Open|product-162|4000|2000|
order-178|Closed|product-162|4000|1200|1235
order-178|Closed|product-162|4000|2800|344
order-179|Open|product-162|4000|1000|543543543
order-179|Closed|product-162|4000|2800|543543
order-180|Closed|product-103|1234|1234|bill-number
order-181|Closed|product-103|1|0|
order-182|Closed|product-103|4000|1200|12
order-182|Open|product-103|4000|2000|
order-183|Closed|product-103|4000|1200|1235
order-183|Closed|product-103|4000|2800|344
order-184|Open|product-103|4000|1000|543543543
order-184|Closed|product-103|4000|2800|543543
order-185|Closed|product-833|1234|1234|bill-number
order-186|Closed|product-833|1|0|
order-187|Closed|product-833|4000|1200|12
order-187|Open|product-833|4000|2000|
order-188|Closed|product-833|4000|1200|1235
